                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.87608,                0.69817,                 1.1342,                0.96618,                0.74989,                 1.1482,                0.71859,                0.73433,                0.77181,                0.45651,                 1.3629,                 1.0234,                 1.4756,                 1.4246,                 1.0808,                 1.4832,             0.00038413,             0.00038413,             0.00038413
                     73,                 0.8768,                0.70534,                 1.1329,                 0.9631,                0.74275,                 1.1411,                0.77313,                0.69346,                0.76943,                0.45284,                 1.3676,                0.99647,                 1.4891,                 1.4245,                 1.0396,                 1.4971,             0.00037942,             0.00037942,             0.00037942
                     74,                0.86188,                0.70481,                 1.1225,                0.94561,                0.73382,                   1.13,                0.77857,                0.67355,                0.75938,                0.44448,                  1.353,                0.99474,                 1.4849,                 1.4059,                 1.0551,                 1.4982,             0.00037471,             0.00037471,             0.00037471
                     75,                0.85463,                0.68741,                 1.1223,                0.94354,                0.71856,                 1.1339,                0.77393,                0.68783,                0.77404,                0.45305,                 1.3754,                0.95306,                  1.512,                  1.425,                 1.0135,                 1.5128,             0.00036999,             0.00036999,             0.00036999
                     76,                0.84182,                0.68488,                  1.118,                0.92908,                0.71299,                 1.1269,                0.75851,                0.72447,                0.77667,                0.45404,                  1.367,                0.97239,                 1.4884,                 1.4117,                 1.0335,                 1.4885,             0.00036528,             0.00036528,             0.00036528
                     77,                0.84927,                0.68298,                 1.1189,                0.92813,                0.71939,                 1.1284,                 0.7626,                 0.7164,                0.77858,                0.45514,                 1.3615,                0.97745,                 1.4823,                 1.4204,                 1.0346,                 1.4933,             0.00036057,             0.00036057,             0.00036057
                     78,                0.85929,                0.69501,                  1.126,                0.94963,                0.73187,                 1.1423,                0.76029,                0.72259,                0.78134,                0.45465,                 1.3759,                0.99991,                 1.5035,                 1.4301,                 1.0461,                   1.51,             0.00035586,             0.00035586,             0.00035586
                     79,                0.85207,                0.69254,                 1.1248,                0.94249,                 0.7248,                   1.14,                0.73193,                0.71721,                0.78135,                0.45912,                 1.3629,                 0.9852,                 1.4992,                  1.422,                 1.0264,                 1.5068,             0.00035115,             0.00035115,             0.00035115
                     80,                 0.8543,                0.68152,                 1.1195,                0.94018,                0.72003,                 1.1277,                0.75125,                0.67565,                0.75191,                0.43203,                 1.3947,                 1.0338,                 1.5314,                 1.4542,                 1.0877,                 1.5348,             0.00034643,             0.00034643,             0.00034643
                     81,                0.84058,                0.65961,                 1.1121,                0.92636,                0.69302,                 1.1203,                0.76249,                0.71647,                0.77569,                0.45781,                 1.3567,                0.96935,                 1.4823,                 1.4116,                 1.0399,                 1.4853,             0.00034172,             0.00034172,             0.00034172
