                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.1153,                 1.1799,                 1.4385,                 1.1834,                 1.3132,                  1.454,                0.61981,                0.56486,                0.62876,                0.35354,                 1.3562,                 1.3166,                 1.7176,                 1.3927,                 1.3582,                 1.7129,               0.001085,               0.001085,               0.001085
                     43,                 1.1125,                 1.1634,                 1.4262,                 1.1868,                 1.3002,                 1.4437,                0.60645,                0.64135,                0.65799,                0.37392,                 1.3532,                  1.196,                 1.6969,                 1.3811,                 1.2218,                 1.7041,              0.0010809,              0.0010809,              0.0010809
                     44,                 1.1128,                 1.1771,                 1.4497,                 1.1858,                 1.3051,                 1.4657,                0.63442,                0.58995,                0.64062,                0.36432,                 1.3362,                 1.2509,                 1.6536,                 1.3837,                 1.2783,                 1.6885,              0.0010768,              0.0010768,              0.0010768
                     45,                 1.1006,                 1.1605,                 1.4245,                 1.1779,                 1.2924,                  1.439,                0.61659,                0.61079,                0.63059,                0.35744,                 1.3537,                 1.2855,                 1.7061,                 1.3861,                 1.3202,                 1.7115,              0.0010726,              0.0010726,              0.0010726
                     46,                 1.1012,                 1.1531,                 1.4219,                 1.1678,                 1.2843,                 1.4295,                0.60735,                0.64127,                0.65593,                0.37581,                 1.3471,                 1.1886,                 1.6926,                  1.392,                 1.2334,                 1.6987,              0.0010685,              0.0010685,              0.0010685
                     47,                 1.1099,                 1.1553,                 1.4323,                 1.1875,                 1.2846,                 1.4398,                 0.6618,                0.58049,                 0.6563,                0.38175,                  1.341,                 1.1953,                 1.6617,                 1.3699,                 1.2308,                 1.6652,              0.0010644,              0.0010644,              0.0010644
                     48,                 1.1001,                 1.1182,                 1.4266,                 1.1738,                 1.2443,                 1.4422,                0.62771,                0.59397,                0.63946,                0.36538,                 1.3297,                 1.2082,                 1.6644,                 1.3603,                 1.2763,                 1.6636,              0.0010603,              0.0010603,              0.0010603
                     49,                 1.0716,                 1.1436,                 1.4272,                  1.145,                 1.2621,                 1.4359,                0.64512,                0.61241,                 0.6712,                0.39395,                 1.3247,                 1.1908,                 1.6671,                 1.3606,                 1.2266,                 1.6605,              0.0010561,              0.0010561,              0.0010561
                     50,                 1.0661,                 1.1083,                 1.4039,                 1.1449,                 1.2035,                 1.4236,                0.67839,                0.63296,                0.68134,                0.39217,                 1.3379,                 1.1462,                 1.6655,                   1.38,                 1.1669,                 1.6645,               0.001052,               0.001052,               0.001052
                     51,                 1.0761,                 1.1116,                 1.4155,                  1.156,                 1.2205,                 1.4259,                0.64275,                0.63495,                0.66436,                0.37495,                 1.3691,                 1.1852,                  1.691,                 1.4153,                 1.1951,                 1.6789,              0.0010479,              0.0010479,              0.0010479
                     52,                 1.0671,                 1.0851,                 1.4004,                  1.149,                 1.1831,                 1.4127,                 0.6038,                  0.658,                0.66346,                0.37242,                 1.3729,                 1.1759,                 1.7142,                 1.4196,                 1.2319,                 1.7221,              0.0010438,              0.0010438,              0.0010438
                     53,                 1.0633,                 1.0789,                 1.4051,                  1.136,                 1.2175,                 1.4191,                0.64572,                0.62088,                 0.6615,                0.38139,                 1.3474,                  1.172,                 1.6972,                  1.379,                 1.2204,                 1.6927,              0.0010396,              0.0010396,              0.0010396
                     54,                 1.0475,                 1.0624,                 1.3768,                 1.1275,                 1.1825,                 1.3926,                0.62244,                0.61951,                 0.6491,                0.36896,                 1.3799,                 1.1881,                  1.718,                 1.4099,                 1.2339,                  1.715,              0.0010355,              0.0010355,              0.0010355
                     55,                 1.0301,                 1.0447,                 1.3774,                 1.1068,                  1.146,                 1.4025,                0.68047,                0.60571,                0.68562,                0.38674,                  1.356,                 1.1463,                 1.7202,                 1.3817,                 1.1926,                 1.7266,              0.0010314,              0.0010314,              0.0010314
                     56,                 1.0506,                 1.0725,                 1.3957,                 1.1321,                 1.1768,                 1.4129,                0.63628,                0.62999,                0.66565,                0.37549,                 1.3526,                  1.233,                 1.7078,                  1.402,                 1.2505,                 1.7187,              0.0010273,              0.0010273,              0.0010273
                     57,                 1.0518,                  1.058,                 1.3972,                 1.1273,                 1.1563,                 1.4135,                0.67007,                0.64648,                 0.7009,                 0.4002,                 1.3743,                 1.1264,                 1.6797,                 1.4312,                 1.1423,                 1.6965,              0.0010231,              0.0010231,              0.0010231
                     58,                  1.049,                 1.0309,                 1.3863,                 1.1308,                 1.1407,                 1.4065,                0.70035,                0.59382,                0.66914,                0.37707,                 1.3713,                 1.2477,                 1.7213,                 1.4168,                 1.2607,                 1.7268,               0.001019,               0.001019,               0.001019
                     59,                 1.0344,                 1.0175,                 1.3766,                  1.111,                 1.1184,                 1.3936,                0.66506,                0.62997,                0.68296,                0.39356,                 1.3458,                 1.1568,                 1.6865,                 1.4034,                 1.1685,                 1.6985,              0.0010149,              0.0010149,              0.0010149
                     60,                 1.0179,                 1.0182,                 1.3668,                 1.0898,                 1.1425,                  1.384,                0.67881,                0.62266,                 0.6899,                  0.396,                 1.3327,                 1.1597,                  1.684,                 1.3872,                 1.2212,                 1.7067,              0.0010107,              0.0010107,              0.0010107
                     61,                 1.0159,                  1.016,                 1.3641,                 1.1058,                 1.1177,                 1.3889,                0.68883,                0.62658,                0.68992,                0.39563,                 1.3461,                 1.1592,                 1.6882,                 1.4046,                 1.2032,                 1.6952,              0.0010066,              0.0010066,              0.0010066
                     62,                 1.0075,                0.99638,                 1.3606,                 1.0955,                 1.0963,                 1.3846,                  0.696,                0.62117,                 0.6955,                0.40396,                 1.3474,                 1.1017,                 1.7044,                 1.3819,                 1.1504,                 1.7156,              0.0010025,              0.0010025,              0.0010025
                     63,                 1.0111,                0.99001,                 1.3543,                 1.0987,                 1.0867,                 1.3755,                0.66678,                0.67464,                 0.7106,                0.40403,                 1.3642,                 1.0884,                 1.6963,                 1.4246,                 1.1116,                 1.7038,             0.00099837,             0.00099837,             0.00099837
                     64,                 1.0132,                0.96699,                 1.3587,                 1.0905,                 1.0612,                  1.376,                0.68489,                0.66564,                0.71018,                0.41478,                 1.3252,                 1.1422,                 1.6867,                 1.3776,                 1.1696,                 1.6924,             0.00099425,             0.00099425,             0.00099425
                     65,                0.99257,                0.98182,                 1.3412,                 1.0732,                 1.0895,                 1.3618,                0.66844,                0.65289,                0.70091,                0.40537,                 1.3456,                 1.1161,                 1.6836,                 1.3913,                  1.156,                 1.7052,             0.00099013,             0.00099013,             0.00099013
                     66,                0.98602,                0.96407,                 1.3323,                 1.0757,                  1.058,                 1.3633,                0.71314,                0.61048,                0.68593,                0.39186,                 1.3746,                 1.1463,                 1.7166,                 1.4167,                  1.165,                 1.7132,               0.000986,               0.000986,               0.000986
                     67,                0.99596,                0.98134,                 1.3499,                 1.0775,                 1.0704,                 1.3755,                0.68318,                0.65453,                0.71806,                0.41792,                  1.321,                 1.0847,                 1.6777,                 1.3683,                 1.1126,                 1.6849,             0.00098187,             0.00098187,             0.00098187
                     68,                 1.0046,                0.97576,                 1.3542,                 1.0969,                 1.0694,                 1.3822,                0.66559,                0.64377,                0.68983,                0.39404,                 1.3626,                 1.1388,                 1.7149,                 1.4146,                 1.1746,                 1.7233,             0.00097775,             0.00097775,             0.00097775
                     69,                0.99777,                0.99385,                 1.3594,                 1.0779,                 1.0917,                 1.3794,                0.67896,                0.61846,                0.69069,                0.40157,                  1.339,                  1.148,                 1.6992,                 1.3848,                 1.1729,                 1.7001,             0.00097362,             0.00097362,             0.00097362
                     70,                0.97048,                0.94829,                 1.3225,                 1.0518,                 1.0319,                 1.3498,                0.69678,                0.64998,                0.71346,                0.41435,                  1.344,                 1.0785,                 1.6903,                 1.3965,                 1.1044,                 1.7079,              0.0009695,              0.0009695,              0.0009695
                     71,                0.96238,                 0.9538,                 1.3257,                 1.0498,                 1.0406,                 1.3552,                0.69238,                0.62404,                0.70483,                0.41092,                 1.3424,                 1.0942,                 1.7017,                 1.3894,                 1.1139,                 1.7229,             0.00096537,             0.00096537,             0.00096537
                     72,                0.95982,                0.93366,                 1.3255,                 1.0504,                 1.0267,                 1.3513,                0.71256,                0.63273,                0.70732,                0.40132,                 1.3924,                 1.1289,                 1.7434,                 1.4234,                 1.1542,                 1.7375,             0.00096125,             0.00096125,             0.00096125
                     73,                0.97289,                0.93753,                 1.3348,                 1.0629,                  1.027,                 1.3563,                 0.7015,                0.63145,                0.69504,                0.40216,                 1.3406,                 1.1257,                 1.6978,                 1.3819,                 1.1522,                 1.7001,             0.00095712,             0.00095712,             0.00095712
                     74,                0.97026,                0.91877,                 1.3368,                 1.0581,                 1.0028,                 1.3613,                0.66041,                0.69014,                0.71159,                0.40253,                 1.3525,                 1.1007,                 1.7123,                 1.3994,                 1.1183,                 1.7254,               0.000953,               0.000953,               0.000953
                     75,                0.97057,                0.93413,                 1.3294,                 1.0552,                 1.0163,                 1.3566,                0.68202,                0.65185,                0.70642,                0.41121,                 1.3606,                 1.0803,                 1.7159,                 1.3993,                 1.1043,                 1.7123,             0.00094887,             0.00094887,             0.00094887
                     76,                0.96769,                0.92712,                  1.328,                 1.0499,                 1.0146,                 1.3526,                0.69731,                0.64921,                0.71101,                0.40041,                 1.3572,                 1.0987,                 1.7182,                 1.4218,                 1.1382,                 1.7352,             0.00094475,             0.00094475,             0.00094475
                     77,                0.97204,                0.94314,                 1.3364,                 1.0525,                  1.038,                 1.3583,                0.69188,                0.68895,                0.73782,                0.43191,                 1.3339,                 1.0516,                 1.6937,                 1.3797,                 1.0649,                  1.703,             0.00094062,             0.00094062,             0.00094062
                     78,                 0.9492,                0.89726,                  1.312,                 1.0341,                0.99019,                 1.3293,                0.68549,                 0.6368,                0.68264,                0.39769,                 1.3379,                 1.1553,                 1.7018,                 1.3644,                  1.216,                 1.6777,              0.0009365,              0.0009365,              0.0009365
                     79,                0.94923,                0.91328,                 1.3228,                 1.0303,                 1.0018,                 1.3455,                0.69929,                0.64043,                0.70286,                0.40778,                 1.3537,                 1.0805,                 1.7126,                 1.4054,                 1.1089,                 1.7115,             0.00093238,             0.00093238,             0.00093238
                     80,                0.92158,                0.86882,                 1.3053,                 1.0001,                 0.9559,                 1.3295,                0.69513,                0.64897,                0.71911,                0.40743,                 1.3611,                 1.0855,                 1.7308,                 1.4162,                 1.1178,                 1.7296,             0.00092825,             0.00092825,             0.00092825
