                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.2622,                 1.0447,                 1.3906,                 1.3333,                 1.1115,                 1.3943,                0.67125,                0.65657,                0.72224,                0.42481,                  1.556,                 1.2309,                 2.0223,                 1.5881,                 1.2678,                 2.0139,             0.00052079,             0.00052079,             0.00052079
                     44,                 1.2594,                 1.0273,                 1.3792,                 1.3351,                 1.0923,                 1.3795,                0.69069,                0.66705,                0.68956,                0.39969,                 1.4973,                 1.2592,                 1.9396,                 1.5432,                 1.2717,                 1.9701,             0.00051608,             0.00051608,             0.00051608
                     45,                 1.2407,                 1.0147,                 1.3717,                 1.3056,                 1.0746,                 1.3723,                0.64312,                0.68404,                0.64641,                0.36541,                 1.5594,                 1.5865,                 2.0674,                 1.5904,                 1.6113,                 2.0549,             0.00051137,             0.00051137,             0.00051137
                     46,                 1.2331,                 1.0105,                 1.3585,                 1.3132,                 1.0655,                  1.357,                0.66551,                 0.6747,                0.66743,                0.38528,                 1.5376,                 1.3329,                 2.0246,                 1.5817,                 1.3266,                 2.0332,             0.00050665,             0.00050665,             0.00050665
                     47,                 1.2108,                 1.0075,                 1.3704,                 1.2819,                 1.0632,                  1.374,                0.67511,                0.60381,                0.67684,                 0.3858,                 1.6196,                 1.7248,                 2.1202,                 1.6357,                 1.6528,                 2.0893,             0.00050194,             0.00050194,             0.00050194
                     48,                 1.2163,                0.99312,                 1.3541,                 1.2761,                 1.0533,                 1.3537,                0.60019,                 0.7082,                0.68328,                0.40699,                 1.5295,                 1.2763,                 2.0244,                  1.567,                 1.3164,                 2.0401,             0.00049723,             0.00049723,             0.00049723
                     49,                 1.2377,                0.98966,                 1.3747,                 1.3079,                 1.0549,                 1.3745,                0.79935,                0.65488,                0.78167,                0.45922,                  1.541,                 1.0026,                 2.0436,                 1.5825,                 0.9786,                 2.0484,             0.00049252,             0.00049252,             0.00049252
                     50,                 1.2354,                 1.0008,                 1.3706,                 1.3065,                 1.0654,                 1.3756,                0.72226,                0.65839,                0.69215,                0.40393,                 1.5247,                 1.2364,                 2.0141,                 1.5537,                 1.2392,                  2.034,              0.0004878,              0.0004878,              0.0004878
                     51,                 1.2206,                0.98625,                 1.3609,                 1.2866,                 1.0518,                 1.3603,                0.70644,                0.67662,                0.71739,                0.43442,                 1.4917,                 1.1091,                 1.9807,                 1.5225,                 1.1439,                 1.9804,             0.00048309,             0.00048309,             0.00048309
                     52,                  1.217,                0.97469,                 1.3572,                 1.2956,                 1.0278,                 1.3599,                 0.7245,                0.68645,                0.71639,                0.41546,                 1.5318,                 1.0462,                 2.0292,                 1.5644,                 1.0685,                 2.0196,             0.00047838,             0.00047838,             0.00047838
                     53,                 1.2052,                0.94352,                 1.3477,                 1.2746,                0.97224,                 1.3414,                0.73662,                0.62225,                 0.7011,                0.40673,                 1.5829,                 1.3265,                 2.0651,                 1.5848,                 1.3281,                 2.0501,             0.00047367,             0.00047367,             0.00047367
                     54,                 1.2088,                0.94898,                 1.3491,                 1.2736,                 1.0004,                  1.345,                0.66581,                0.69315,                0.66895,                0.39321,                 1.5428,                 1.4104,                 2.0666,                  1.551,                 1.4323,                 2.0178,             0.00046896,             0.00046896,             0.00046896
                     55,                 1.1915,                0.95247,                 1.3455,                 1.2591,                 1.0036,                 1.3393,                 0.6726,                0.69366,                0.68665,                0.39283,                 1.5751,                 1.3922,                 2.0434,                 1.5995,                 1.4156,                 2.0388,             0.00046424,             0.00046424,             0.00046424
                     56,                 1.2115,                0.95424,                   1.35,                 1.2869,                 1.0042,                 1.3524,                0.71617,                0.66789,                 0.6983,                 0.4032,                 1.4972,                 1.2271,                 1.9545,                 1.5347,                 1.2176,                 1.9582,             0.00045953,             0.00045953,             0.00045953
                     57,                 1.1987,                0.94409,                 1.3547,                 1.2774,                0.98903,                 1.3515,                0.72324,                0.62412,                0.70898,                0.41848,                 1.4738,                 1.1889,                 1.9676,                 1.5051,                 1.1873,                 1.9595,             0.00045482,             0.00045482,             0.00045482
                     58,                 1.1824,                0.93939,                 1.3374,                 1.2556,                0.99904,                 1.3399,                 0.6946,                0.68681,                0.72191,                 0.4345,                  1.572,                 1.1686,                 2.0845,                 1.6175,                 1.1652,                 2.1157,             0.00045011,             0.00045011,             0.00045011
                     59,                 1.1733,                0.93263,                 1.3338,                 1.2446,                0.98995,                 1.3381,                0.65191,                0.64258,                0.67065,                  0.388,                 1.5513,                 1.4216,                 2.0565,                 1.5743,                 1.4786,                 2.0377,             0.00044539,             0.00044539,             0.00044539
                     60,                   1.18,                0.89366,                 1.3415,                 1.2454,                0.93219,                 1.3381,                0.67816,                0.68924,                0.71576,                0.41778,                 1.5373,                 1.1541,                 2.0333,                 1.5642,                 1.1454,                 2.0316,             0.00044068,             0.00044068,             0.00044068
                     61,                 1.1683,                 0.9095,                 1.3328,                 1.2399,                0.96091,                  1.333,                0.66438,                0.71855,                0.75116,                0.44482,                 1.5419,                 1.0369,                 2.0229,                 1.5882,                 1.0544,                 2.0267,             0.00043597,             0.00043597,             0.00043597
                     62,                 1.1656,                0.90167,                 1.3271,                 1.2447,                0.94668,                 1.3301,                0.66368,                0.69416,                0.69348,                0.41508,                 1.5766,                 1.3163,                 2.0899,                 1.6063,                 1.3259,                 2.0986,             0.00043126,             0.00043126,             0.00043126
