                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.0224,                0.97553,                 1.3076,                 1.1018,                 1.0648,                 1.3173,                0.64885,                0.64971,                0.68611,                0.38914,                 1.3752,                 1.1368,                 1.5889,                 1.4456,                 1.1705,                 1.6037,             0.00050665,             0.00050665,             0.00050665
                     47,                0.99862,                0.92405,                  1.294,                  1.081,                0.99962,                 1.3063,                0.64048,                0.66744,                 0.7015,                0.40429,                 1.3438,                 1.1382,                 1.5812,                 1.4134,                 1.1606,                 1.6035,             0.00050194,             0.00050194,             0.00050194
                     48,                 1.0125,                0.95838,                 1.3123,                  1.104,                 1.0709,                  1.331,                0.72671,                0.65829,                0.72785,                0.41956,                  1.335,                 1.1089,                  1.552,                 1.3926,                 1.1314,                  1.568,             0.00049723,             0.00049723,             0.00049723
                     49,                  1.006,                0.94961,                 1.2904,                 1.1015,                 1.0342,                 1.3084,                0.70927,                0.70825,                 0.7513,                0.41919,                  1.376,                 1.0388,                 1.5792,                 1.4459,                 1.0631,                 1.6035,             0.00049252,             0.00049252,             0.00049252
                     50,                0.98519,                0.92002,                 1.2867,                 1.0807,                0.99308,                  1.307,                0.68758,                0.65503,                0.71572,                0.41197,                 1.3385,                 1.1178,                 1.5678,                 1.3997,                 1.1408,                 1.5765,              0.0004878,              0.0004878,              0.0004878
                     51,                0.97839,                0.91708,                 1.2831,                 1.0663,                0.99235,                 1.3002,                0.71618,                0.63403,                0.71835,                0.41641,                 1.3643,                 1.1762,                 1.5741,                 1.4191,                 1.1933,                 1.5843,             0.00048309,             0.00048309,             0.00048309
                     52,                 0.9727,                0.91438,                 1.2782,                 1.0664,                0.99817,                 1.2938,                0.68445,                0.67479,                0.71112,                0.40427,                 1.3847,                 1.0817,                  1.569,                 1.4298,                 1.1813,                 1.5753,             0.00047838,             0.00047838,             0.00047838
                     53,                 0.9985,                 0.9112,                 1.2734,                 1.0841,                0.99467,                 1.2845,                0.70796,                 0.6573,                0.71957,                0.41689,                 1.3821,                 1.0878,                 1.5929,                 1.4196,                 1.1448,                 1.5789,             0.00047367,             0.00047367,             0.00047367
                     54,                 1.0036,                0.90471,                 1.2904,                 1.0897,                0.97626,                 1.3121,                0.71402,                0.66953,                0.74932,                0.43904,                 1.3252,                 1.0635,                   1.56,                 1.3762,                 1.1039,                 1.5611,             0.00046896,             0.00046896,             0.00046896
                     55,                0.94826,                0.87264,                 1.2578,                 1.0224,                0.94818,                 1.2669,                0.70299,                0.65952,                0.71892,                0.41964,                  1.353,                 1.0932,                 1.5738,                 1.3985,                 1.1518,                 1.5725,             0.00046424,             0.00046424,             0.00046424
                     56,                0.94339,                0.85021,                 1.2441,                 1.0343,                0.93814,                 1.2584,                0.70334,                0.69548,                 0.7516,                0.44208,                 1.3487,                 1.0321,                 1.5725,                 1.3737,                 1.0855,                  1.545,             0.00045953,             0.00045953,             0.00045953
                     57,                 0.9468,                0.85651,                 1.2633,                 1.0214,                0.92748,                 1.2833,                0.69799,                0.68564,                 0.7441,                0.42449,                 1.3387,                 1.0536,                 1.5679,                 1.3852,                 1.0716,                 1.5684,             0.00045482,             0.00045482,             0.00045482
                     58,                 0.9454,                0.85467,                 1.2623,                 1.0306,                0.94506,                 1.2798,                0.68379,                0.69777,                0.74459,                  0.439,                 1.3302,                 1.0872,                 1.5702,                  1.393,                 1.1029,                 1.5703,             0.00045011,             0.00045011,             0.00045011
                     59,                0.94075,                0.82977,                 1.2459,                 1.0176,                0.92266,                 1.2591,                0.71628,                0.67354,                0.74058,                0.41748,                 1.3761,                 1.0611,                 1.5976,                 1.4495,                 1.1028,                 1.6098,             0.00044539,             0.00044539,             0.00044539
