                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.2708,                 1.1588,                 1.4929,                 1.3204,                 1.2434,                 1.4857,                0.60524,                0.68005,                0.62895,                0.36442,                 1.5577,                 1.6277,                 2.0944,                 1.6003,                 1.5822,                 2.1265,              0.0005255,              0.0005255,              0.0005255
                     43,                 1.2874,                 1.1599,                 1.5038,                 1.3398,                   1.24,                 1.4873,                0.64354,                0.65591,                0.65497,                0.38624,                 1.5971,                   1.35,                 2.1706,                 1.6208,                 1.3615,                 2.1658,             0.00052079,             0.00052079,             0.00052079
                     44,                 1.2754,                 1.1484,                 1.4936,                 1.3179,                 1.2476,                 1.4729,                0.60772,                 0.6652,                 0.6445,                0.38288,                 1.5021,                 1.6208,                 1.9978,                 1.5099,                 1.6847,                 2.0074,             0.00051608,             0.00051608,             0.00051608
                     45,                 1.2734,                 1.1546,                 1.5027,                 1.3313,                 1.2145,                 1.4857,                 0.6082,                0.67448,                0.65139,                0.38898,                 1.5685,                 1.4893,                 2.1716,                 1.5894,                 1.4971,                 2.1864,             0.00051137,             0.00051137,             0.00051137
                     46,                 1.2732,                 1.1611,                 1.4926,                 1.3377,                 1.2341,                 1.4871,                0.60662,                0.65812,                0.69338,                0.41724,                 1.5224,                 1.3803,                  2.047,                 1.5397,                 1.3792,                 2.0515,             0.00050665,             0.00050665,             0.00050665
                     47,                 1.2279,                  1.126,                 1.4687,                 1.2808,                   1.19,                 1.4594,                0.60524,                0.68127,                0.69084,                 0.4045,                 1.5389,                 1.3204,                 2.0903,                 1.5559,                 1.3889,                 2.1025,             0.00050194,             0.00050194,             0.00050194
                     48,                 1.2534,                 1.0983,                 1.4715,                 1.2991,                 1.1658,                 1.4534,                0.57355,                0.67155,                0.66814,                0.39402,                 1.5739,                 1.6419,                 2.1427,                 1.6187,                 1.6437,                 2.1698,             0.00049723,             0.00049723,             0.00049723
                     49,                 1.2557,                  1.116,                 1.4779,                 1.3013,                 1.1946,                 1.4605,                0.65412,                0.61229,                0.67094,                0.40016,                 1.5327,                 1.5658,                 2.0415,                 1.5472,                 1.6375,                 2.0561,             0.00049252,             0.00049252,             0.00049252
                     50,                 1.2528,                 1.1208,                 1.4736,                 1.3142,                  1.204,                 1.4642,                0.65343,                0.66169,                 0.6749,                0.39269,                 1.5071,                 1.4928,                 2.0249,                 1.5684,                 1.4772,                 2.0651,              0.0004878,              0.0004878,              0.0004878
                     51,                 1.2557,                 1.0852,                 1.4742,                 1.3097,                 1.1592,                 1.4659,                0.62292,                0.68457,                 0.6914,                0.39881,                 1.5016,                 1.2794,                 2.0077,                 1.5517,                 1.3151,                  2.026,             0.00048309,             0.00048309,             0.00048309
                     52,                 1.2463,                 1.0981,                 1.4677,                 1.3049,                 1.1822,                 1.4571,                0.62884,                0.68655,                0.67835,                0.38938,                 1.5302,                 1.4399,                 2.0748,                 1.5557,                 1.4651,                 2.0794,             0.00047838,             0.00047838,             0.00047838
                     53,                 1.2312,                 1.0913,                 1.4563,                 1.2873,                 1.1612,                 1.4451,                0.66373,                0.66394,                0.68388,                 0.4063,                 1.5454,                 1.4289,                 2.0624,                 1.5852,                 1.3915,                  2.067,             0.00047367,             0.00047367,             0.00047367
                     54,                  1.233,                 1.0622,                 1.4616,                 1.2916,                 1.1273,                  1.457,                0.69905,                0.67197,                0.69741,                0.41422,                  1.482,                 1.1098,                 2.0346,                  1.511,                  1.089,                 2.0283,             0.00046896,             0.00046896,             0.00046896
                     55,                 1.2195,                 1.0717,                 1.4493,                 1.2686,                 1.1546,                 1.4407,                0.62818,                0.65381,                0.67463,                0.39345,                 1.4982,                 1.3445,                 2.0027,                 1.5283,                 1.3962,                 2.0095,             0.00046424,             0.00046424,             0.00046424
                     56,                 1.2537,                 1.0605,                 1.4743,                 1.3169,                 1.1315,                 1.4712,                0.67368,                0.65962,                 0.7025,                0.41964,                 1.5134,                 1.2734,                 2.0667,                 1.5408,                 1.2339,                 2.0574,             0.00045953,             0.00045953,             0.00045953
                     57,                 1.2219,                 1.0545,                 1.4585,                 1.2871,                 1.1254,                 1.4505,                0.64228,                0.70303,                0.68213,                0.39731,                 1.5359,                 1.1542,                 2.1011,                 1.5565,                 1.1644,                  2.107,             0.00045482,             0.00045482,             0.00045482
                     58,                 1.2272,                 1.0557,                 1.4509,                 1.2813,                 1.1223,                 1.4449,                0.63692,                0.71384,                0.67491,                0.38721,                 1.5739,                 1.3673,                  2.142,                 1.5925,                  1.349,                 2.1436,             0.00045011,             0.00045011,             0.00045011
                     59,                 1.2088,                 1.0592,                 1.4466,                 1.2682,                 1.1278,                 1.4473,                0.70005,                0.64298,                0.70985,                0.41639,                 1.5974,                 1.2757,                 2.2104,                   1.62,                 1.2617,                 2.2098,             0.00044539,             0.00044539,             0.00044539
                     60,                 1.2186,                 1.0509,                 1.4548,                 1.2698,                 1.1276,                 1.4458,                0.65717,                0.67649,                0.70007,                0.40781,                 1.5682,                 1.3286,                 2.1146,                 1.5936,                 1.2891,                 2.1212,             0.00044068,             0.00044068,             0.00044068
                     61,                 1.2013,                 1.0099,                 1.4382,                 1.2473,                  1.089,                 1.4249,                0.66724,                0.71529,                0.70472,                0.41245,                  1.559,                 1.0766,                 2.1632,                  1.587,                 1.0828,                 2.1375,             0.00043597,             0.00043597,             0.00043597
                     62,                 1.1823,                 1.0132,                 1.4281,                 1.2374,                  1.086,                 1.4274,                0.61861,                0.69536,                0.65781,                0.38311,                 1.5591,                 1.4084,                 2.1768,                 1.5896,                 1.4151,                 2.1734,             0.00043126,             0.00043126,             0.00043126
                     63,                 1.1732,                0.99913,                 1.4136,                 1.2241,                 1.0685,                  1.414,                0.63874,                0.68589,                0.67791,                0.38778,                 1.5472,                 1.4351,                  2.064,                 1.5805,                  1.433,                 2.0548,             0.00042654,             0.00042654,             0.00042654
                     64,                 1.1857,                0.98801,                  1.416,                 1.2407,                 1.0497,                 1.4071,                0.69301,                0.68818,                0.72353,                0.42771,                 1.5221,                 1.1221,                  2.071,                 1.5418,                  1.105,                 2.0527,             0.00042183,             0.00042183,             0.00042183
                     65,                 1.1767,                0.98172,                 1.4139,                 1.2404,                 1.0386,                 1.4121,                0.65145,                0.68731,                0.72482,                0.43489,                 1.6015,                 1.3692,                   2.13,                 1.6054,                 1.3937,                 2.1006,             0.00041712,             0.00041712,             0.00041712
                     66,                 1.2002,                 1.0031,                 1.4496,                 1.2626,                 1.0693,                 1.4449,                0.67164,                0.68107,                0.71369,                0.42329,                 1.5582,                 1.3766,                 2.0671,                 1.5582,                 1.3752,                 2.0471,             0.00041241,             0.00041241,             0.00041241
                     67,                 1.1688,                0.97332,                  1.424,                  1.226,                 1.0368,                 1.4187,                 0.6579,                0.65901,                0.68669,                0.40236,                 1.5551,                 1.5365,                 2.1283,                 1.5587,                 1.5234,                   2.12,             0.00040769,             0.00040769,             0.00040769
                     68,                 1.1585,                 0.9682,                 1.4055,                 1.2251,                 1.0289,                 1.4061,                0.70027,                0.67631,                0.73352,                0.42619,                 1.6211,                  1.143,                 2.2263,                 1.6395,                 1.1236,                 2.2137,             0.00040298,             0.00040298,             0.00040298
                     69,                 1.1787,                0.97216,                 1.4248,                 1.2302,                 1.0485,                 1.4169,                0.65542,                0.67517,                0.70388,                0.41468,                 1.5672,                 1.6046,                 2.1188,                   1.57,                  1.564,                 2.0855,             0.00039827,             0.00039827,             0.00039827
                     70,                 1.1541,                0.93441,                 1.4049,                 1.2121,                0.97474,                  1.408,                0.69071,                 0.6741,                0.71101,                0.41217,                 1.5736,                 1.2366,                 2.1154,                 1.5882,                 1.2111,                 2.1085,             0.00039356,             0.00039356,             0.00039356
                     71,                 1.1876,                0.98194,                 1.4193,                 1.2569,                 1.0283,                 1.4201,                  0.712,                0.66863,                0.73141,                0.43614,                  1.503,                 1.1881,                 2.0319,                 1.5359,                 1.1811,                 2.0525,             0.00038884,             0.00038884,             0.00038884
                     72,                 1.1512,                0.93642,                 1.3993,                 1.2093,                 1.0054,                    1.4,                0.66449,                0.67545,                0.68049,                0.39786,                 1.5612,                    1.4,                 2.1165,                 1.5768,                 1.3436,                 2.1082,             0.00038413,             0.00038413,             0.00038413
                     73,                 1.1351,                0.93534,                 1.3912,                 1.1868,                 1.0108,                 1.3921,                0.66201,                0.70132,                0.71485,                0.42193,                 1.5662,                 1.2435,                 2.1883,                   1.58,                 1.2388,                 2.1832,             0.00037942,             0.00037942,             0.00037942
